site,datetime,q,log(no3),var(log(no3)),log(ssc),var(log(ssc)),log(total_p),var(log(total_p))
03346500,2017-10-27,421.0,-0.9005573417127182,0.13125046037482396,4.192239668097506,0.26016718546058165,-1.8943086966773282,0.10505392504591168
03346500,2017-10-28,320.0,-0.9837806945392381,0.15679267947184863,3.808546722033132,0.2288644213157599,-2.018193586165669,0.09206564215983848
03346500,2017-10-29,238.0,-1.293799125597115,0.16764323593828076,3.409570421727896,0.19855460268599362,-1.9578259920522645,0.07884042637156288
03346500,2017-10-30,189.0,-1.535285966366095,0.17592029441514478,3.2602815339897115,0.1881512222842783,-1.959150759915682,0.07907732756677753
03346500,2017-10-31,165.0,-1.55018362088354,0.20236009402129013,3.10351439628832,0.18861924389950624,-2.025253090564553,0.08276923933750813
03346500,2017-11-01,165.0,-1.5630051854214417,0.17196738716006071,3.1702093107390414,0.19249958857080499,-1.996805333333382,0.07776120139382028
03346500,2017-11-02,167.0,-1.53327408055268,0.19443495046889542,3.39520554653871,0.21172691343884298,-1.8221116295424147,0.07837101920343624
03346500,2017-11-03,218.0,-1.2335114718615072,0.1737050781119678,3.936980639641444,0.21577972287596053,-1.5286572605499145,0.07541735488626579
03346500,2017-11-04,447.0,-0.6500580354258703,0.16118652004656284,4.390592950424803,0.20406427667026567,-1.3059948695523356,0.0661971609560989
03346500,2017-11-05,356.0,-1.3591566682056258,0.1974110441652554,4.7447597702831175,0.20814939612633454,-1.011242261939729,0.07011856610320473
03346500,2017-11-06,1180.0,-0.906340401020996,8.087056873679779e-29,5.950642552587792,4.203839763922772e-27,-0.5798184952529442,4.44966854351227e-30
03346500,2017-11-07,896.0,-1.9607388362051468,0.23329269021184687,5.394300803640584,0.22174698959852313,-0.7110613337359498,0.08099038577655661
03346500,2017-11-08,1080.0,-1.1145322415145869,0.17882216387641092,5.58799771431496,0.2041036551377032,-0.7019864551363235,0.06343150970305902
03346500,2017-11-09,668.0,-1.0708063443657947,0.17836032142552485,5.038121577963837,0.19284497468088954,-0.949564786669566,0.08019540031423504
03346500,2017-11-10,453.0,-1.2914494829077745,0.18993438499171958,4.640872005156034,0.1901149129678882,-1.110767155238436,0.07366731725591491
03346500,2017-11-11,336.0,-1.5059442220935955,0.19874614628354936,4.296342795285796,0.18025683771752404,-1.2606498587937822,0.07855226377497881
03346500,2017-11-12,283.0,-1.5432396621237072,0.19190849489517242,4.035371459600363,0.19332166754470112,-1.381826516178411,0.08885967003844121
03346500,2017-11-13,246.0,-1.7274078376210147,0.18126415303821303,3.9355327421626356,0.21273929238659237,-1.4403812582372988,0.0797950330536994
03346500,2017-11-14,215.0,-1.7238402663793764,0.18884435472506086,3.82074677274996,0.19437602848251234,-1.497499050329928,0.09226024535634224
03346500,2017-11-15,203.0,-1.620279902706512,0.1851179120244805,3.834801481443694,0.1909066804092026,-1.5035986847320932,0.09589077056018164
03346500,2017-11-16,282.0,-1.188505698300766,0.17767586069512575,3.8451854482360446,0.18741076701354215,-1.5448249918066719,0.08128804806094203
03346500,2017-11-17,583.0,-0.4214017389302635,0.13026324218313234,4.281018701467397,0.20485281518216045,-1.3464335639188012,0.07315799740108234
03346500,2017-11-18,860.0,-0.3899875684054103,0.10530909329474597,5.2089149242937305,0.19088249309334362,-0.9197710926793243,0.08213536894911137
03346500,2017-11-19,581.0,-1.0602039392210592,0.182031559217928,5.07987482273584,0.20678355437173787,-0.854848262631115,0.09415771588516315
03346500,2017-11-20,914.0,-0.806602600440145,0.16503051057877424,5.294011470999242,0.21502383259115,-0.7501565553572213,0.08440968592965992
03346500,2017-11-21,1290.0,-0.6364912695635566,0.16045896679387203,5.619159991606364,0.20591480873577306,-0.6362572382865458,0.08124811946642417
03346500,2017-11-22,1330.0,-0.5818023495249155,0.1522094225020861,5.803855235110457,0.21378980303969736,-0.5853039562658789,0.07568040118931457
03346500,2017-11-23,1470.0,-0.4394841013631787,0.13004168713065428,5.690910179590224,0.22295171904116545,-0.6385049436389215,0.07279621647499349
03346500,2017-11-24,1650.0,-0.3996203467489594,0.12797807287380453,5.560317404681094,0.19993438668926286,-0.701544429073049,0.0753983008548595
03346500,2017-11-25,1830.0,-0.33151755433604085,0.11586904906254385,5.5394806189643,0.21469194209435957,-0.7244153749815929,0.07175824209842714
03346500,2017-11-26,1980.0,-0.16024067189096158,0.09411570792746095,5.472035150120913,0.18848886874360174,-0.7553819555312347,0.07501919062743809
03346500,2017-11-27,1960.0,-0.06724826221847656,0.0956042466520059,5.3606901826860165,0.1936181082515223,-0.8325590937766377,0.06860208177992305
03346500,2017-11-28,1430.0,0.08379767870369648,0.08632009009916045,4.877462639785404,0.19705845836668562,-1.0496680414975317,0.07353913779709312
03346500,2017-11-29,650.0,-0.22534525737634176,0.11455178223791368,4.522157602559602,0.21304475753232732,-1.1958056715248995,0.07684176087094809
03346500,2017-11-30,303.0,-0.6458595991326392,0.13952087887774564,4.143053965248341,0.23493695701844092,-1.4309391194564853,0.08846764925680069
03346500,2017-12-01,223.0,-0.19967119512907008,6.37945034778828e-30,3.295836866004292,1.3915506368098648e-27,-1.4271163556401603,2.0830858278492343e-28
03346500,2017-12-02,196.0,-0.9062948086921191,0.17500012011489552,3.648951184986235,0.1820945907663025,-1.7639693894628077,0.08272606820476523
03346500,2017-12-03,180.0,-0.9353096964924721,0.18279152524069633,3.1947937887567783,0.1828214038964185,-2.079276378317486,0.07595861813428331
03346500,2017-12-04,159.0,-1.0300858500389154,0.15675757197824422,3.4268699564110454,0.17479332345166917,-1.9542244697672668,0.08170490202436578
03346500,2017-12-05,176.0,-0.9785573454993706,0.1579623204770075,3.7922993554781104,0.16212070121944394,-1.7453296603122512,0.07636290301262555
03346500,2017-12-06,178.0,-0.9841427607849123,0.15681014229605675,3.616846736515677,0.18848937482431533,-1.9219177765822313,0.07304841856690898
03346500,2017-12-07,168.0,-0.9307116338105972,0.15670503755453993,3.1265702236515023,0.1718935287351801,-2.202264984637655,0.07334061487712601
03346500,2017-12-08,146.0,-0.9260718719360443,0.1620039999167255,2.7344311267605472,0.2139787351432762,-2.4635935185734446,0.07367764336116149
03346500,2017-12-09,136.0,-0.9167591107191819,0.14212191461058354,2.6442270405519785,0.2215417628301559,-2.509294469553296,0.080723972497534
03346500,2017-12-10,129.0,-0.9096901594847778,0.17180439451148768,2.6146415674217387,0.2169815276135352,-2.508066493454105,0.07994288588170675
03346500,2017-12-11,126.0,-0.9098074059785899,0.15137960795580624,2.462907272661013,0.256741775074067,-2.5732884771596565,0.08976846996481629
03346500,2017-12-12,122.0,-0.9728133434628591,0.16140618161232462,3.2888938855307344,0.1808758528446948,-2.119485862823477,0.07438805173124594
03346500,2017-12-13,115.0,-0.9716920176081093,0.17735829583159596,2.947635758009278,0.22506856480406906,-2.345999669695703,0.07379647956486123
03346500,2017-12-14,116.0,-0.9977993921435647,0.16775448516212987,2.6203587482841355,0.24694697640930255,-2.547596183257791,0.06778400628372923
03346500,2017-12-15,111.0,-0.9889020807928884,0.15255424935303297,2.4636466194888587,0.27227947275059217,-2.626401293705568,0.07714300282921978
03346500,2017-12-16,103.0,-1.052685906376536,0.17054179551599893,2.5465571063172976,0.24686558628707925,-2.614757160904934,0.07104912082406342
03346500,2017-12-17,103.0,-1.0784424319757562,0.15849042270242109,2.4824040366960607,0.2727886455237041,-2.672414586309005,0.09018019214881123
03346500,2017-12-18,101.0,-1.0871390875061149,0.14977898094051662,2.508115131883123,0.26461943634422347,-2.664435534806667,0.0808058761301527
03346500,2017-12-19,97.6,-1.1546112523251575,0.17814923192923954,2.650416302720274,0.23304882598125445,-2.581866837337051,0.07509469079749814
03346500,2017-12-20,94.4,-1.1977017211593848,0.16568461789998368,2.8026025567495862,0.19538924949960124,-2.494779712091064,0.08169660190973196
03346500,2017-12-21,95.5,-1.1782090077589527,0.13822011306393422,2.838231447703277,0.23970722828225258,-2.5203510603547565,0.0797887277837184
03346500,2017-12-22,95.0,-1.2216873286761867,0.170434005708562,3.075425433764968,0.19555283081147862,-2.3880119417631556,0.07701694048953575
03346500,2017-12-23,118.0,-1.1479928094138203,0.1692177918320004,3.290182411446907,0.18907495533676585,-2.2398336383606683,0.0825802145529426
03346500,2017-12-24,177.0,-0.8397084360084213,0.15062114999249948,3.1917783502484833,0.1836047931587623,-2.3480331371295255,0.08236690926461929
03346500,2017-12-25,188.0,-0.690553013088888,0.13275957198281146,3.0716818763341824,0.22310834227137044,-2.3264292081008975,0.07960756724957214
03346500,2017-12-26,173.0,-0.6485146073233952,0.14193339123597082,2.865921067995768,0.2519067670212151,-2.4387704361837095,0.08327304675752104
03346500,2017-12-27,142.0,-0.8084995751239348,0.13874575670266892,2.729819078431307,0.39566450768882583,-2.6870524698899656,0.11503351744945067
03346500,2017-12-28,119.0,-0.8626014485172844,0.1412943165618421,2.5531607307144695,0.4421224817033251,-2.757827939736721,0.10105819081179096
03346500,2017-12-29,107.0,-0.8780097493709097,0.1393252358897453,2.559073434405875,0.48077575400427375,-2.7509833034117994,0.1113423788535003
03346500,2017-12-30,96.0,-0.9091447186598731,0.14082184191941302,2.4501098204341414,0.44651564528338067,-2.7504980136667636,0.11695100552042662
03346500,2017-12-31,87.7,-0.9010115857735411,0.13747404317439801,2.3768413690008434,0.489529531513834,-2.7888960499658424,0.12197858744761861
03346500,2018-01-01,80.9,-0.8312464617706776,0.1372893497041984,2.270080480059015,0.42800819789848615,-2.7593255772903698,0.10958700072759901
03346500,2018-01-02,75.8,-0.7982929609758762,0.13899985748954036,2.206289867448639,0.4051590187630483,-2.7599852842376533,0.11384503447276509
03346500,2018-01-03,71.2,-0.7688629429404201,0.15930202435448734,2.0888366339016904,0.4092702074180945,-2.7551962689709364,0.10793531917926098
03346500,2018-01-04,67.2,-0.7940763950515902,0.15148372593412904,2.119479190004091,0.3882420763188796,-2.7512773465291374,0.10207365762019044
03346500,2018-01-05,63.9,-0.7555842832678487,0.14434017484757436,2.0810610424691713,0.35189417453508504,-2.7317833243417664,0.10831091606264473
